Rk,Team,G,Pts/G,TotPts,ScrmPlys,Yds/G,Yds/P,1st/G,3rdMd,3rdAtt,3rdPct,4thMd,4thAtt,4thPct,Pen,PenYds,ToP/G,FUM,Lost,TO
1,NewOrleansSaints,16,25,1,401,1,095,411.4,6.0,24.7,98,203,48,8,15,53,80,670,30:35,22,13,-13
2,PittsburghSteelers,16,27,2,436,1,068,411.1,6.2,23.7,93,208,45,5,10,50,103,834,32:24,16,11,0
3,IndianapolisColts,16,28,6,458,1,105,406.6,5.9,23.2,89,217,41,6,15,40,105,848,31:54,31,15,-5
4,DenverBroncos,16,30,1,482,1,067,402.9,6.0,22.5,94,213,44,6,13,46,120,1,045,30:46,16,5,+5
5,PhiladelphiaEagles,16,29,6,474,1,127,396.8,5.6,22.2,103,237,44,7,11,64,115,995,26:40,25,15,-8
6,GreenBayPackers,16,30,4,486,1,001,386.1,6.2,22.2,93,197,47,4,10,40,92,775,30:32,19,7,+14
7,DallasCowboys,16,29,2,467,1,014,383.6,6.1,21.4,95,201,47,3,6,50,105,839,32:51,22,14,+6
8,AtlantaFalcons,16,23,8,381,1,035,378.2,5.8,20.6,93,210,44,8,16,50,97,840,29:28,16,8,+5
9,SeattleSeahawks,16,24,6,394,1,021,375.8,5.9,20.5,90,212,42,3,11,27,130,1,009,32:22,23,7,+10
10,NewYorkGiants,16,23,8,380,1,086,367.2,5.4,21.0,101,235,43,5,16,31,101,896,30:44,21,14,-2
11,NewEnglandPatriots,16,29,2,468,1,073,365.5,5.5,22.6,98,221,44,7,13,54,120,1,080,29:37,13,4,+12
12,BaltimoreRavens,16,25,6,409,1,021,364.9,5.7,21.6,84,205,41,9,18,50,111,870,29:40,17,8,+2
13,WashingtonRedskins,16,18,8,301,1,006,358.6,5.7,19.9,62,197,32,4,16,25,120,1,130,30:47,31,13,-12
14,MiamiDolphins,16,24,2,388,1,040,350.1,5.4,22.6,80,200,40,7,19,37,81,635,30:08,27,11,+2
15,CincinnatiBengals,16,22,8,365,1,018,348.0,5.5,19.6,84,211,40,7,13,54,102,812,30:32,20,9,0
16,CarolinaPanthers,16,21,2,339,1,060,346.7,5.2,21.7,93,222,42,6,10,60,83,756,32:17,25,11,+3
17,HoustonTexans,16,23,2,372,1,062,344.6,5.2,19.6,91,235,39,10,17,59,94,834,31:07,19,9,+12
18,SanDiegoChargers,16,21,8,348,1,009,341.6,5.4,20.4,97,215,45,5,11,46,111,967,30:58,16,5,-5
19,DetroitLions,16,20,1,321,1,045,340.8,5.2,19.4,86,223,39,10,20,50,118,989,31:41,21,8,+7
20,SanFrancisco49ers,16,19,1,306,1,009,327.4,5.2,18.9,86,213,40,10,18,56,116,937,31:44,18,12,+7
21,ChicagoBears,16,19,9,319,1,005,327.1,5.2,20.1,78,207,38,13,28,46,113,997,30:13,19,10,-5
22,NewYorkJets,16,17,7,283,1,052,326.6,5.0,18.1,91,234,39,9,16,56,109,932,31:01,25,9,-11
23,ClevelandBrowns,16,18,7,299,1,010,324.6,5.1,18.4,61,207,30,5,14,36,116,932,28:13,16,7,+6
24,ArizonaCardinals,16,19,4,310,993,319.8,5.2,18.9,90,224,40,3,4,75,91,707,29:48,16,5,+8
25,KansasCityChiefs,16,22,1,353,962,318.8,5.3,19.3,80,201,40,5,12,42,88,681,29:60,22,11,-3
26,BuffaloBills,16,21,4,343,1,020,318.5,5.0,17.1,84,229,37,6,14,43,124,1,031,29:45,22,10,+7
27,MinnesotaVikings,16,20,3,325,981,315.5,5.1,18.0,82,211,39,6,12,50,100,836,28:52,11,2,-1
28,St.LouisRams,16,20,2,324,957,314.7,5.3,18.0,68,192,35,4,10,40,123,1,139,29:13,27,11,-2
29,TennesseeTitans,16,15,9,254,919,303.7,5.3,16.1,59,196,30,6,17,35,111,961,27:31,23,10,-10
30,TampaBayBuccaneers,16,17,3,277,936,292.0,5.0,16.4,76,203,37,4,12,33,118,939,27:17,29,13,-8
31,JacksonvilleJaguars,16,15,6,249,988,289.6,4.7,16.9,69,216,32,7,19,37,73,573,27:11,15,8,-6
32,OaklandRaiders,16,15,8,253,994,282.2,4.5,15.5,80,236,34,9,15,60,116,939,28:20,28,13,-15
