Rk,Team,G,Pts/G,TotPts,ScrmPlys,Yds/G,Yds/P,1st/G,3rdMd,3rdAtt,3rdPct,4thMd,4thAtt,4thPct,Pen,PenYds,ToP/G,FUM,Lost,TO
1,KansasCityChiefs,16,35,3,565,996,425.6,6.8,24.0,83,176,47,12,15,80,137,1,152,29:11,18,6,+9
2,LosAngelesRams,16,32,9,527,1,060,421.1,6.4,25.1,86,191,45,6,15,40,96,878,30:42,17,7,+11
3,TampaBayBuccaneers,16,24,8,396,1,055,415.5,6.3,24.2,86,187,46,9,13,69,117,975,30:30,23,9,-18
4,PittsburghSteelers,16,26,8,428,1,058,403.3,6.1,23.6,88,198,44,9,14,64,111,1,026,31:00,21,9,-11
5,NewEnglandPatriots,16,27,2,436,1,073,393.4,5.9,22.8,82,201,41,7,14,50,93,744,31:05,11,7,+10
6,AtlantaFalcons,16,25,9,414,1,010,389.1,6.2,22.0,92,203,45,10,19,53,101,899,29:36,24,11,+1
7,IndianapolisColts,16,27,1,433,1,070,386.2,5.8,23.2,104,214,49,7,15,47,120,953,30:05,17,9,+2
8,NewOrleansSaints,16,31,5,504,1,010,379.2,6.0,23.6,82,184,45,13,16,81,94,939,31:53,18,9,+8
9,BaltimoreRavens,16,24,3,389,1,135,374.9,5.3,22.9,104,231,45,13,22,59,116,940,32:54,25,11,-3
10,CarolinaPanthers,16,23,5,376,1,011,373.2,5.9,22.2,77,185,42,9,19,47,92,818,30:44,20,6,+1
11,LosAngelesChargers,16,26,8,428,945,372.6,6.3,21.1,70,177,40,7,8,88,113,967,30:43,17,7,+1
12,GreenBayPackers,16,23,5,376,1,026,369.1,5.8,20.8,75,204,37,10,20,50,108,937,30:03,22,11,0
13,ClevelandBrowns,16,22,4,359,1,023,368.8,5.8,19.6,73,208,35,9,21,43,112,894,29:29,19,7,+7
14,PhiladelphiaEagles,16,22,9,367,1,037,365.3,5.6,21.6,84,205,41,14,23,61,100,852,32:39,29,12,-6
15,HoustonTexans,16,25,1,402,1,040,362.6,5.6,20.8,77,208,37,8,12,67,105,787,30:46,19,7,+13
16,SanFrancisco49ers,16,21,4,342,1,003,360.6,5.8,21.5,73,193,38,5,10,50,112,982,29:55,31,12,-25
17,NewYorkGiants,16,23,1,369,984,356.1,5.8,18.6,76,206,37,12,20,60,114,951,28:57,16,7,+2
18,SeattleSeahawks,16,26,8,428,1,012,353.3,5.6,20.6,81,208,39,11,14,79,111,959,31:28,18,4,+15
19,DenverBroncos,16,20,6,329,1,015,350.1,5.5,20.0,69,207,33,15,25,60,125,985,28:58,18,6,+7
20,MinnesotaVikings,16,22,5,360,1,003,345.6,5.5,19.4,73,204,36,9,21,43,92,779,29:34,15,10,0
21,ChicagoBears,16,26,3,421,1,013,343.9,5.4,20.7,82,200,41,9,15,60,97,796,32:22,23,10,+12
22,DallasCowboys,16,21,2,339,1,022,343.8,5.4,20.1,89,215,41,12,21,57,104,885,31:32,23,9,+3
23,OaklandRaiders,16,18,1,290,995,336.2,5.4,18.8,73,197,37,7,16,44,110,965,30:59,24,14,-7
24,DetroitLions,16,20,2,324,1,019,327.2,5.1,20.3,75,208,36,11,18,61,94,852,31:24,14,7,-5
25,TennesseeTitans,16,19,4,310,938,312.4,5.3,18.1,82,205,40,7,12,58,82,727,29:47,18,6,-1
26,CincinnatiBengals,16,23,368,938,310.8,5.3,19.0,69,187,37,9,17,53,114,957,27:27,11,4,+1
27,JacksonvilleJaguars,16,15,3,245,1,005,302.0,4.8,17.3,93,230,40,8,17,47,121,1,112,30:14,26,16,-12
28,WashingtonRedskins,16,17,6,281,967,299.7,5.0,17.5,75,206,36,10,18,56,115,1,008,29:38,18,4,+7
29,NewYorkJets,16,20,8,333,971,299.2,4.9,16.1,69,214,32,11,22,50,114,948,29:10,24,11,-10
30,BuffaloBills,16,16,8,269,1,008,298.6,4.7,17.7,68,215,32,7,18,39,116,992,30:29,23,9,-5
31,MiamiDolphins,16,19,9,319,878,289.9,5.3,15.8,56,186,30,8,13,62,108,978,28:06,17,10,+5
32,ArizonaCardinals,16,14,1,225,902,241.6,4.3,14.9,58,199,29,6,16,38,101,786,26:33,23,10,-12
