Rk,Team,G,Pts/G,TotPts,Att,Att/G,Yds,Avg,Yds/G,TD,Lng,1st,1st%,20+,40+,FUM
1,DenverBroncos,16,19,3,309,546,34.1,2,632,4.8,164.5,11,60T,129,23.6,20,1,11
2,HoustonTexans,16,23,8,381,546,34.1,2,448,4.5,153.0,18,56,131,24.0,13,4,10
3,CarolinaPanthers,16,25,4,406,445,27.8,2,408,5.4,150.5,26,74T,139,31.2,24,3,3
4,MinnesotaVikings,16,21,2,340,448,28.0,2,318,5.2,144.9,18,67,118,26.3,19,5,7
5,PhiladelphiaEagles,16,24,8,396,450,28.1,2,276,5.1,142.2,20,60,134,29.8,20,3,9
6,NewOrleansSaints,16,34,2,547,431,26.9,2,127,4.9,132.9,16,36,116,26.9,14,0,3
7,OaklandRaiders,16,22,4,359,466,29.1,2,110,4.5,131.9,16,70T,110,23.6,21,4,7
8,SanFrancisco49ers,16,23,8,380,498,31.1,2,044,4.1,127.8,14,55,101,20.3,16,4,5
9,ChicagoBears,16,22,1,353,456,28.5,2,015,4.4,125.9,10,46,97,21.3,18,4,7
10,BaltimoreRavens,16,23,6,378,459,28.7,1,996,4.3,124.8,15,70T,98,21.4,13,5,6
11,MiamiDolphins,16,20,6,329,469,29.3,1,987,4.2,124.2,11,76T,89,19.0,11,1,13
12,JacksonvilleJaguars,16,15,2,243,489,30.6,1,970,4.0,123.1,9,56,103,21.1,10,3,13
13,BuffaloBills,16,23,2,372,391,24.4,1,921,4.9,120.1,12,80T,100,25.6,17,3,10
14,PittsburghSteelers,16,20,3,325,434,27.1,1,903,4.4,118.9,13,76,96,22.1,9,3,5
15,KansasCityChiefs,16,13,2,212,487,30.4,1,893,3.9,118.3,5,34,89,18.3,13,0,5
16,SanDiegoChargers,16,25,4,406,436,27.2,1,864,4.3,116.5,16,41,97,22.2,13,2,8
17,AtlantaFalcons,16,25,1,402,453,28.3,1,834,4.0,114.6,14,81T,100,22.1,11,4,4
18,DallasCowboys,16,23,1,369,408,25.5,1,807,4.4,112.9,5,91T,91,22.3,11,3,8
19,CincinnatiBengals,16,21,5,344,455,28.4,1,778,3.9,111.1,10,42,93,20.4,6,1,7
20,NewEnglandPatriots,16,32,1,513,438,27.4,1,764,4.0,110.2,18,33T,107,24.4,5,0,3
21,SeattleSeahawks,16,20,1,321,444,27.8,1,756,4.0,109.8,15,48T,89,20.0,8,3,8
22,NewYorkJets,16,23,6,377,443,27.7,1,692,3.8,105.8,14,31,92,20.8,7,0,8
23,St.LouisRams,16,12,1,193,409,25.6,1,667,4.1,104.2,7,47T,79,19.3,7,2,6
24,ArizonaCardinals,16,19,5,312,389,24.3,1,625,4.2,101.6,12,71,83,21.3,7,2,8
25,WashingtonRedskins,16,18,288,400,25.0,1,614,4.0,100.9,8,39,79,19.8,10,0,4
26,IndianapolisColts,16,15,2,243,382,23.9,1,594,4.2,99.6,8,80T,69,18.1,7,2,7
27,GreenBayPackers,16,35,560,395,24.7,1,558,3.9,97.4,12,47T,89,22.5,8,2,4
28,ClevelandBrowns,16,13,6,218,415,25.9,1,531,3.7,95.7,4,40,77,18.6,7,1,10
29,DetroitLions,16,29,6,474,356,22.2,1,523,4.3,95.2,9,88T,71,19.9,8,3,6
30,TampaBayBuccaneers,16,17,9,287,346,21.6,1,458,4.2,91.1,9,54T,74,21.4,7,1,8
31,TennesseeTitans,16,20,3,325,376,23.5,1,438,3.8,89.9,8,48T,71,18.9,14,1,5
32,NewYorkGiants,16,24,6,394,411,25.7,1,427,3.5,89.2,17,37,84,20.4,4,0,6
